PG_IDX,Abs_Spread,AX,Power,INFEASIBLE,Constraint_Distance,Constraint,SNBS,SNBS_u,SNBS_ω,SURV,SURV_u,SURV_ω,NodeClass,degree,betweenness
-6175315216135814709,0.32531649806572954,2.2484485638959537,0.5777921111905822,0.044,1.0,0.0,0.952,0.952,0.952,0.872,0.872,0.952,Bulk,7,0.3488181131038275
-6175315216135814709,0.13111181443208428,1.391617852428002,0.5968100416556351,0.06,1.0,0.0,0.932,0.932,0.932,0.656,0.656,0.932,Root,4,0.1149380956431049
-6175315216135814709,0.5250001375479327,1.8907319091385444,0.4324717755643755,0.156,1.0,0.0,0.844,0.844,0.844,0.74,0.74,0.844,Root,5,0.08796482326166928
-6175315216135814709,0.33302870495307596,1.7376180319948777,-0.3517611967846476,0.008,1.0,0.0,0.992,0.992,0.992,0.756,0.756,0.992,Bulk,5,0.18073826640617008
-6175315216135814709,0.35009222656780975,1.18041084041773,-0.605744362412331,0.0,1.0,1.0,1.0,1.0,1.0,0.94,0.94,1.0,Bulk,6,0.122966592261583
-6175315216135814709,0.4112367028728984,2.2365303672674837,0.8129589836757551,0.016,1.0,0.0,0.984,0.984,0.984,0.888,0.888,0.984,Bulk,8,0.3035082813839772
-6175315216135814709,0.33598528046446674,0.9119009478590625,-0.8884269011861885,0.0,1.0,1.0,1.0,1.0,1.0,0.904,0.904,1.0,Root,6,0.11217139613861934
-6175315216135814709,0.38208648994283995,1.4507410620265369,0.6683218202368943,0.0,1.0,1.0,1.0,1.0,1.0,0.804,0.804,1.0,Bulk,3,0.005178419464133754
-6175315216135814709,0.2923574480456011,1.090883918370832,0.692655720806678,0.0,1.0,1.0,1.0,1.0,1.0,0.924,0.924,1.0,Bulk,4,0.082139951141188
-6175315216135814709,0.38515739805167165,1.2554335416445381,-0.33607834952200355,0.0,1.0,1.0,1.0,1.0,1.0,0.94,0.94,1.0,Bulk,6,0.08559804107113943
-6175315216135814709,0.34245732089428144,1.2347552056996993,0.42021144318444986,0.0,1.0,1.0,1.0,1.0,1.0,0.988,0.988,1.0,Root,6,0.08298289012574728
-6175315216135814709,0.3564395770347179,1.239460415485311,0.8608999383739251,0.0,1.0,1.0,1.0,1.0,1.0,0.992,0.992,1.0,Bulk,6,0.16829176114890373
-6175315216135814709,0.221205331544478,1.8341868670021706,0.5124369944423357,0.044,1.0,0.0,0.88,0.88,0.88,0.736,0.736,0.88,Root,5,0.13858982184585153
-6175315216135814709,0.24299391663016956,2.062110240766744,0.2381293245246336,0.004,1.0,0.0,0.992,0.992,0.992,0.528,0.528,0.992,Bulk,2,0.0
-6175315216135814709,0.21842750431027153,1.0489411916283067,-0.2417074246098045,0.0,2.0,1.0,1.0,1.0,1.0,0.86,0.86,1.0,Root,3,0.03999175427746856
-6175315216135814709,0.24212737059807976,1.8557099478283452,0.1085259585080491,0.012,1.0,0.0,0.988,0.988,0.988,0.664,0.664,0.988,Bulk,4,0.05434966153890089
-6175315216135814709,0.431200562611261,1.2296810162058402,-0.9076463131462346,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Bulk,3,0.09961863533292104
-6175315216135814709,0.28374967124427286,1.1244662162246781,-0.21978014184322694,0.0,1.0,1.0,1.0,1.0,1.0,0.744,0.744,1.0,Root,3,0.05211207057218187
-6175315216135814709,0.3463377914064026,1.1355559634960062,0.04167109820963136,0.0,1.0,1.0,1.0,1.0,1.0,0.868,0.868,1.0,Root,4,0.0651482682094927
-6175315216135814709,0.2923207746162762,2.414874193741283,-0.7119736021183669,0.028,1.0,0.0,0.968,0.968,0.968,0.836,0.836,0.968,Bulk,5,0.005737648594791451
-6175315216135814709,0.21605847387416993,1.4087722323623202,-0.2638616311359107,0.0,1.0,0.0,1.0,1.0,1.0,0.792,0.792,1.0,Root,5,0.09436198721913004
-6175315216135814709,0.2807327142864281,1.219198086142815,-0.4752243458086535,0.0,1.0,1.0,1.0,1.0,1.0,0.924,0.924,1.0,Bulk,4,0.036951144094001236
-6175315216135814709,0.17054054716765735,1.3060689168510584,0.7717935045299729,0.024,1.0,0.0,0.976,0.976,0.976,0.904,0.904,0.976,Root,4,0.03186284614856039
-6175315216135814709,0.2870004540411072,1.0707852844722712,0.05054908486954441,0.0,1.0,1.0,1.0,1.0,1.0,0.94,0.94,1.0,Bulk,2,0.030449578022243448
-6175315216135814709,0.13975834678194515,1.6817553509020366,-0.49450863775745235,0.064,1.0,0.0,0.936,0.936,0.936,0.812,0.812,0.936,Bulk,4,0.007036349893492756
-6175315216135814709,3.956003499024415e-15,1.0209043732851,-0.8985066769917005,0.0,2.0,0.0,0.928,0.928,0.928,0.612,0.612,0.92,Bulk,4,0.048666941524084385
-6175315216135814709,0.3856054799447422,1.2045982858668451,-0.560443639484441,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Root,4,0.0637497423211709
-6175315216135814709,0.17040866298348534,1.3314622783906656,0.4725984913366181,0.0,1.0,0.0,0.992,0.992,0.992,0.84,0.84,1.0,Root,5,0.04774011576732665
-6175315216135814709,0.30833317557869766,0.7565220514932618,0.0444011475764228,0.0,1.0,1.0,1.0,1.0,1.0,0.904,0.904,1.0,Bulk,3,0.11651803497814629
-6175315216135814709,0.5143567532427326,1.6609108411763014,0.11288615336202049,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Bulk,2,0.10005821842556537
-6175315216135814709,0.19204542531638663,1.2271347003367816,-0.19116776140964034,0.004,2.0,1.0,0.992,0.992,0.996,0.792,0.792,0.996,Sparse Sprout,1,0.0
-6175315216135814709,6.378623313233825e-15,1.0108370713668204,-0.8682567212997947,0.0,2.0,0.0,0.884,0.884,0.884,0.416,0.416,1.0,Bulk,2,0.0
-6175315216135814709,0.2870130157925041,1.1314245113420969,0.33369213240005324,0.0,1.0,1.0,1.0,1.0,1.0,0.82,0.82,1.0,Bulk,2,0.03502579042158511
-6175315216135814709,0.33915700891701106,1.269113870911128,0.7067135438547925,0.0,1.0,1.0,1.0,1.0,1.0,0.96,0.96,1.0,Bulk,3,0.0523088023088023
-6175315216135814709,0.3272497652000526,1.2799544454574618,0.9453827593756108,0.04,1.0,0.0,0.96,0.96,0.96,0.94,0.94,0.96,Root,6,0.12898450755593607
-6175315216135814709,0.4201287286252114,1.2483122667980768,0.4125962734989703,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Bulk,2,0.033962069676355386
-6175315216135814709,0.3135292032609075,1.7531134102798127,0.8786600074348999,0.32,1.0,0.0,0.676,0.676,0.676,0.628,0.628,0.676,Root,3,0.021490414347557205
-6175315216135814709,0.39160459577567747,1.2278381085664631,-0.20109213338125362,0.0,1.0,1.0,1.0,1.0,1.0,0.812,0.812,1.0,Bulk,3,0.018145459982194672
-6175315216135814709,0.21106654224917298,1.5061219216874993,0.8360891869231667,0.04,1.0,0.0,0.956,0.956,0.956,0.668,0.668,0.956,Bulk,4,0.0031952174809317664
-6175315216135814709,0.34287825727802174,1.361758218109349,-0.052450887935646284,0.0,1.0,1.0,1.0,1.0,1.0,0.976,0.976,1.0,Bulk,3,0.0012025012025012024
-6175315216135814709,0.2554684456332477,1.625424464914977,-0.14531029650764804,0.212,1.0,0.0,0.78,0.78,0.78,0.424,0.424,0.78,Bulk,2,0.011435220108689506
-6175315216135814709,0.3193800919338081,1.2901864084303538,-0.9794144858384056,0.004,1.0,1.0,0.98,0.98,0.996,0.972,0.972,0.996,Root,3,0.022263450834879406
-6175315216135814709,0.2622652642188133,1.2302193462570232,-0.37096921078249684,0.0,1.0,1.0,1.0,1.0,1.0,0.96,0.96,1.0,Bulk,2,0.006699649556792414
-6175315216135814709,0.09696502888169194,1.391199952016481,0.38997063892579525,0.1,1.0,0.0,0.888,0.888,0.888,0.644,0.644,0.888,Root,3,0.046018003160860306
-6175315216135814709,0.11826240999752044,1.4253524489476628,-0.1117914143153421,0.092,1.0,0.0,0.908,0.908,0.908,0.604,0.604,0.908,Root,3,0.03983371126228269
-6175315216135814709,0.11371672964245401,1.4189404983829619,-0.5772092516192775,0.004,1.0,0.0,0.888,0.888,0.888,0.456,0.456,0.996,Dense Sprout,1,0.0
-6175315216135814709,0.4195841280194902,1.4984889384383127,-0.8181100698784468,0.0,1.0,1.0,1.0,1.0,1.0,0.912,0.912,1.0,Bulk,2,0.005904809476238048
-6175315216135814709,0.201669153229672,1.850422501931579,-0.4320005931475268,0.144,1.0,0.0,0.848,0.848,0.848,0.652,0.652,0.848,Root,5,0.09771181199752628
-6175315216135814709,0.14951200549715918,1.4758601211638838,-0.4034096226128396,0.08,1.0,0.0,0.92,0.92,0.92,0.552,0.552,0.92,Bulk,2,0.04411461554318697
-6175315216135814709,0.36026582369475985,1.8306810955226742,-0.5985196282971224,0.004,2.0,1.0,0.996,0.996,0.996,0.836,0.836,0.996,Sparse Sprout,1,0.0
-6175315216135814709,0.3232326026143034,1.464980700001987,0.8111388048199137,0.0,2.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,Bulk,2,0.0
-6175315216135814709,0.09679355525935572,1.396951486908181,0.29193604300807635,0.048,1.0,0.0,0.864,0.864,0.864,0.536,0.536,0.948,Root,3,0.0202020202020202
-6175315216135814709,0.4468520740501515,1.1599243124043448,0.8859372930690065,0.0,1.0,1.0,0.996,0.996,1.0,0.984,0.984,1.0,Sparse Sprout,1,0.0
-6175315216135814709,0.16191541268765136,1.7010041146268424,-0.928471649503198,0.204,1.0,0.0,0.792,0.792,0.792,0.6,0.6,0.792,Root,3,0.0202020202020202
-6175315216135814709,0.34352342904741306,1.31497569608677,-0.8862740729764254,0.0,1.0,1.0,1.0,1.0,1.0,0.952,0.952,1.0,Bulk,3,0.049637814943937424
-6175315216135814709,0.14104680388775598,0.9455422635823733,-0.06849015818893549,0.0,2.0,1.0,1.0,1.0,1.0,0.66,0.66,1.0,Inner Tree Node,2,0.0202020202020202
